brand_id,entity_type,entity_id,parent_adgroup_id,name,status,campaign_type,daily_budget_krw,created_at,updated_at
entropy,keyword,cmp-a001-01-000000010367775,grp-a001-01-000000063551635,엔트로피메이크업,ELIGIBLE,,0,2026-03-05T11:15:03.000Z,2026-05-28T23:22:52.000Z
entropy,ad,grp-a001-01-000000063551635,grp-a001-01-000000063551635,nad-a001-01-000000525557407,ELIGIBLE,,0,2026-05-19T00:34:05.000Z,2026-05-19T00:34:11.000Z
entropy,ad,grp-a001-01-000000063551737,grp-a001-01-000000063551737,nad-a001-01-000000489293221,PAUSED,,0,2026-03-13T04:00:30.000Z,2026-05-28T23:23:48.000Z
entropy,ad,grp-a001-01-000000063551862,grp-a001-01-000000063551862,nad-a001-01-000000485523136,PAUSED,,0,2026-03-05T11:52:17.000Z,2026-05-28T23:23:55.000Z
entropy,ad,grp-a001-01-000000063583335,grp-a001-01-000000063583335,nad-a001-01-000000490992713,PAUSED,,0,2026-03-17T04:03:10.000Z,2026-04-15T23:21:31.000Z
entropy,keyword,cmp-a001-01-000000010389825,grp-a001-01-000000063919721,엔트로피메이크업,ELIGIBLE,,0,2026-03-13T05:27:19.000Z,2026-04-22T00:30:48.000Z
entropy,ad,grp-a001-01-000000063919721,grp-a001-01-000000063919721,nad-a001-01-000000501094549,PAUSED,,0,2026-04-06T07:45:57.000Z,2026-04-15T23:22:00.000Z
entropy,ad,grp-a001-01-000000063919726,grp-a001-01-000000063919726,nad-a001-01-000000501094749,PAUSED,,0,2026-04-06T07:46:49.000Z,2026-04-15T23:22:06.000Z
entropy,ad,grp-a001-01-000000063919727,grp-a001-01-000000063919727,nad-a001-01-000000525557161,ELIGIBLE,,0,2026-05-19T00:33:04.000Z,2026-05-20T02:25:10.000Z
entropy,ad,grp-a001-01-000000063919729,grp-a001-01-000000063919729,nad-a001-01-000000501096962,PAUSED,,0,2026-04-06T07:49:42.000Z,2026-04-15T23:22:22.000Z
entropy,ad,grp-a001-01-000000063919731,grp-a001-01-000000063919731,nad-a001-01-000000501099376,PAUSED,,0,2026-04-06T07:52:00.000Z,2026-04-15T23:22:29.000Z
entropy,ad,grp-a001-01-000000064018285,grp-a001-01-000000064018285,nad-a001-01-000000525558398,ELIGIBLE,,0,2026-05-19T00:37:07.000Z,2026-05-19T00:37:12.000Z
entropy,keyword,cmp-a001-01-000000010499887,grp-a001-01-000000065070935,엔트로피눈썹애쉬,ELIGIBLE,,0,2026-04-10T04:28:09.000Z,2026-04-10T04:28:11.000Z
entropy,ad,grp-a001-01-000000065070935,grp-a001-01-000000065070935,nad-a001-01-000000503540393,ELIGIBLE,,0,2026-04-10T04:57:28.000Z,2026-04-10T04:57:29.000Z
entropy,ad,grp-a001-01-000000065070949,grp-a001-01-000000065070949,nad-a001-01-000000503548168,ELIGIBLE,,0,2026-04-10T05:09:30.000Z,2026-04-14T05:52:48.000Z
entropy,keyword,cmp-a001-01-000000010501041,grp-a001-01-000000065075722,엔트로피눈썹베이지,ELIGIBLE,,0,2026-04-10T04:34:32.000Z,2026-04-10T04:34:36.000Z
entropy,ad,grp-a001-01-000000065075722,grp-a001-01-000000065075722,nad-a001-01-000000503543502,PAUSED,,0,2026-04-10T05:04:46.000Z,2026-05-28T23:25:13.000Z
entropy,ad,grp-a001-01-000000065075735,grp-a001-01-000000065075735,nad-a001-01-000000503542453,PAUSED,,0,2026-04-10T05:02:40.000Z,2026-05-28T23:25:08.000Z
